date,all,health,leisure
2017-01-01,10547,1110,739
2017-02-01,9882,1065,670
2017-03-01,10292,998,715
2017-04-01,9351,949,679
2017-05-01,9439,980,750
2017-06-01,10024,1013,730
2017-07-01,10565,1078,769
2017-08-01,10233,1032,802
2017-09-01,9823,961,710
2017-10-01,10627,1060,742
2017-11-01,9735,933,657
2017-12-01,9942,927,658
2018-01-01,12180,1309,839
2018-02-01,10457,1084,692
2018-03-01,10542,1003,702
2018-04-01,9724,1041,744
2018-05-01,10036,1133,799
2018-06-01,10551,1140,763
2018-07-01,11848,1223,813
2018-08-01,10626,1136,850
2018-09-01,10643,1116,862
2018-10-01,11047,1135,749
2018-11-01,10066,1007,649
2018-12-01,9609,881,648
2019-01-01,10439,1134,744
2019-02-01,10191,1076,732
2019-03-01,10367,1058,780
2019-04-01,10012,1097,739
2019-05-01,10056,1119,793
2019-06-01,10466,1205,812
2019-07-01,11945,1304,888
2019-08-01,10976,1257,923
2019-09-01,10603,1098,806
2019-10-01,10716,1197,743
2019-11-01,10083,1061,674
2019-12-01,9757,953,711
2020-01-01,10276,1203,779
2020-02-01,10276,1135,734
2020-03-01,10418,1345,639
2020-04-01,10363,1883,470
2020-05-01,9452,1547,506
2020-06-01,11398,1577,673
2020-07-01,11666,1711,763
2020-08-01,11350,1824,774
2020-09-01,11169,1624,755
2020-10-01,11204,1566,690
2020-11-01,10850,1938,679
2020-12-01,12789,2933,780
